experiment,method,n,state_dim,N,seed,error,T,rho_q,rho_v,controller,metric_name,metric_implementation
robotarm_dim_scaling,uniform,4,8,10,117541,0.288070349057,1.0,0.1,0.1,"adaptive_inverse_dynamics_tracking(kp=0.01,kd=0.005,lambda=0.02,gamma=0,sigma=0.05,tau_limit=100)",Hausdorff Distance,point_cloud_directed_hausdorff
robotarm_dim_scaling,uniform,4,8,10,117641,0.298940621111,1.0,0.1,0.1,"adaptive_inverse_dynamics_tracking(kp=0.01,kd=0.005,lambda=0.02,gamma=0,sigma=0.05,tau_limit=100)",Hausdorff Distance,point_cloud_directed_hausdorff
robotarm_dim_scaling,uniform,4,8,10,117741,0.291091313596,1.0,0.1,0.1,"adaptive_inverse_dynamics_tracking(kp=0.01,kd=0.005,lambda=0.02,gamma=0,sigma=0.05,tau_limit=100)",Hausdorff Distance,point_cloud_directed_hausdorff
robotarm_dim_scaling,uniform,4,8,10,117841,0.294566229752,1.0,0.1,0.1,"adaptive_inverse_dynamics_tracking(kp=0.01,kd=0.005,lambda=0.02,gamma=0,sigma=0.05,tau_limit=100)",Hausdorff Distance,point_cloud_directed_hausdorff
robotarm_dim_scaling,uniform,4,8,10,117941,0.3077257442,1.0,0.1,0.1,"adaptive_inverse_dynamics_tracking(kp=0.01,kd=0.005,lambda=0.02,gamma=0,sigma=0.05,tau_limit=100)",Hausdorff Distance,point_cloud_directed_hausdorff
robotarm_dim_scaling,uniform,4,8,10,118041,0.276404182486,1.0,0.1,0.1,"adaptive_inverse_dynamics_tracking(kp=0.01,kd=0.005,lambda=0.02,gamma=0,sigma=0.05,tau_limit=100)",Hausdorff Distance,point_cloud_directed_hausdorff
robotarm_dim_scaling,uniform,4,8,10,118141,0.300113291443,1.0,0.1,0.1,"adaptive_inverse_dynamics_tracking(kp=0.01,kd=0.005,lambda=0.02,gamma=0,sigma=0.05,tau_limit=100)",Hausdorff Distance,point_cloud_directed_hausdorff
robotarm_dim_scaling,uniform,4,8,10,118241,0.288081342159,1.0,0.1,0.1,"adaptive_inverse_dynamics_tracking(kp=0.01,kd=0.005,lambda=0.02,gamma=0,sigma=0.05,tau_limit=100)",Hausdorff Distance,point_cloud_directed_hausdorff
robotarm_dim_scaling,uniform,4,8,10,118341,0.300308703224,1.0,0.1,0.1,"adaptive_inverse_dynamics_tracking(kp=0.01,kd=0.005,lambda=0.02,gamma=0,sigma=0.05,tau_limit=100)",Hausdorff Distance,point_cloud_directed_hausdorff
robotarm_dim_scaling,uniform,4,8,10,118441,0.270524919185,1.0,0.1,0.1,"adaptive_inverse_dynamics_tracking(kp=0.01,kd=0.005,lambda=0.02,gamma=0,sigma=0.05,tau_limit=100)",Hausdorff Distance,point_cloud_directed_hausdorff
robotarm_dim_scaling,uniform,4,8,30,117561,0.225482853849,1.0,0.1,0.1,"adaptive_inverse_dynamics_tracking(kp=0.01,kd=0.005,lambda=0.02,gamma=0,sigma=0.05,tau_limit=100)",Hausdorff Distance,point_cloud_directed_hausdorff
robotarm_dim_scaling,uniform,4,8,30,117661,0.266313098877,1.0,0.1,0.1,"adaptive_inverse_dynamics_tracking(kp=0.01,kd=0.005,lambda=0.02,gamma=0,sigma=0.05,tau_limit=100)",Hausdorff Distance,point_cloud_directed_hausdorff
robotarm_dim_scaling,uniform,4,8,30,117761,0.247747355496,1.0,0.1,0.1,"adaptive_inverse_dynamics_tracking(kp=0.01,kd=0.005,lambda=0.02,gamma=0,sigma=0.05,tau_limit=100)",Hausdorff Distance,point_cloud_directed_hausdorff
robotarm_dim_scaling,uniform,4,8,30,117861,0.230754688425,1.0,0.1,0.1,"adaptive_inverse_dynamics_tracking(kp=0.01,kd=0.005,lambda=0.02,gamma=0,sigma=0.05,tau_limit=100)",Hausdorff Distance,point_cloud_directed_hausdorff
