experiment,method,n,state_dim,N,seed,error,T,rho_q,rho_v,controller,metric_name,metric_implementation
robotarm_dim_scaling,adversarial,2,4,10,597641,0.165056752232,1.0,0.1,0.1,"adaptive_inverse_dynamics_tracking(kp=0.01,kd=0.005,lambda=0.02,gamma=0,sigma=0.05,tau_limit=100)",Hausdorff Distance,point_cloud_directed_hausdorff
robotarm_dim_scaling,adversarial,2,4,30,597661,0.102031798445,1.0,0.1,0.1,"adaptive_inverse_dynamics_tracking(kp=0.01,kd=0.005,lambda=0.02,gamma=0,sigma=0.05,tau_limit=100)",Hausdorff Distance,point_cloud_directed_hausdorff
robotarm_dim_scaling,adversarial,2,4,100,597731,0.069386727301,1.0,0.1,0.1,"adaptive_inverse_dynamics_tracking(kp=0.01,kd=0.005,lambda=0.02,gamma=0,sigma=0.05,tau_limit=100)",Hausdorff Distance,point_cloud_directed_hausdorff
robotarm_dim_scaling,adversarial,2,4,300,597931,0.046965827953,1.0,0.1,0.1,"adaptive_inverse_dynamics_tracking(kp=0.01,kd=0.005,lambda=0.02,gamma=0,sigma=0.05,tau_limit=100)",Hausdorff Distance,point_cloud_directed_hausdorff
robotarm_dim_scaling,adversarial,2,4,1000,598631,0.0319837573702,1.0,0.1,0.1,"adaptive_inverse_dynamics_tracking(kp=0.01,kd=0.005,lambda=0.02,gamma=0,sigma=0.05,tau_limit=100)",Hausdorff Distance,point_cloud_directed_hausdorff
robotarm_dim_scaling,adversarial,2,4,3000,600631,0.0223668131393,1.0,0.1,0.1,"adaptive_inverse_dynamics_tracking(kp=0.01,kd=0.005,lambda=0.02,gamma=0,sigma=0.05,tau_limit=100)",Hausdorff Distance,point_cloud_directed_hausdorff
robotarm_dim_scaling,adversarial,2,4,1,597732,0.346143131269,1.0,0.1,0.1,"adaptive_inverse_dynamics_tracking(kp=0.01,kd=0.005,lambda=0.02,gamma=0,sigma=0.05,tau_limit=100)",Hausdorff Distance,point_cloud_directed_hausdorff
robotarm_dim_scaling,adversarial,2,4,3,597734,0.296789587227,1.0,0.1,0.1,"adaptive_inverse_dynamics_tracking(kp=0.01,kd=0.005,lambda=0.02,gamma=0,sigma=0.05,tau_limit=100)",Hausdorff Distance,point_cloud_directed_hausdorff
robotarm_dim_scaling,adversarial,2,4,10,597741,0.169625623267,1.0,0.1,0.1,"adaptive_inverse_dynamics_tracking(kp=0.01,kd=0.005,lambda=0.02,gamma=0,sigma=0.05,tau_limit=100)",Hausdorff Distance,point_cloud_directed_hausdorff
robotarm_dim_scaling,adversarial,2,4,30,597761,0.107166195269,1.0,0.1,0.1,"adaptive_inverse_dynamics_tracking(kp=0.01,kd=0.005,lambda=0.02,gamma=0,sigma=0.05,tau_limit=100)",Hausdorff Distance,point_cloud_directed_hausdorff
robotarm_dim_scaling,adversarial,2,4,100,597831,0.0670781116206,1.0,0.1,0.1,"adaptive_inverse_dynamics_tracking(kp=0.01,kd=0.005,lambda=0.02,gamma=0,sigma=0.05,tau_limit=100)",Hausdorff Distance,point_cloud_directed_hausdorff
robotarm_dim_scaling,adversarial,2,4,300,598031,0.0465051721827,1.0,0.1,0.1,"adaptive_inverse_dynamics_tracking(kp=0.01,kd=0.005,lambda=0.02,gamma=0,sigma=0.05,tau_limit=100)",Hausdorff Distance,point_cloud_directed_hausdorff
